date,account_id,project,service,usage_type,region,cost
2025-01-01,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,15230.45
2025-01-01,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4320.10
2025-01-01,987654321,Analytics,AmazonRDS,Database,us-west-2,6450.00
2025-01-01,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,9800.30
2025-01-01,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,5600.00
2025-01-02,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,16050.75
2025-01-02,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4210.25
2025-01-02,987654321,Analytics,AmazonRDS,Database,us-west-2,6620.00
2025-01-02,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,10250.50
2025-01-02,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,5750.00
2025-01-03,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17005.60
2025-01-03,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4315.40
2025-01-03,987654321,Analytics,AmazonRDS,Database,us-west-2,6780.00
2025-01-03,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11075.75
2025-01-03,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,5900.00
2025-01-04,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17120.50
2025-01-04,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4350.20
2025-01-04,987654321,Analytics,AmazonRDS,Database,us-west-2,6825.00
2025-01-04,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11150.00
2025-01-04,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,5950.00
2025-01-05,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17240.75
2025-01-05,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4390.10
2025-01-05,987654321,Analytics,AmazonRDS,Database,us-west-2,6890.00
2025-01-05,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11220.25
2025-01-05,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6000.00
2025-01-06,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17360.80
2025-01-06,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4425.00
2025-01-06,987654321,Analytics,AmazonRDS,Database,us-west-2,6950.00
2025-01-06,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11300.00
2025-01-06,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6050.00
2025-01-07,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17480.90
2025-01-07,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4460.00
2025-01-07,987654321,Analytics,AmazonRDS,Database,us-west-2,7000.00
2025-01-07,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11380.00
2025-01-07,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6100.00
2025-01-08,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17600.00
2025-01-08,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4495.00
2025-01-08,987654321,Analytics,AmazonRDS,Database,us-west-2,7050.00
2025-01-08,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11450.00
2025-01-08,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6150.00
2025-01-09,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17720.00
2025-01-09,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4530.00
2025-01-09,987654321,Analytics,AmazonRDS,Database,us-west-2,7100.00
2025-01-09,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11520.00
2025-01-09,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6200.00
2025-01-10,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17840.00
2025-01-10,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4570.00
2025-01-10,987654321,Analytics,AmazonRDS,Database,us-west-2,7150.00
2025-01-10,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11600.00
2025-01-10,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6250.00
2025-01-11,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,17960.00
2025-01-11,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4610.00
2025-01-11,987654321,Analytics,AmazonRDS,Database,us-west-2,7200.00
2025-01-11,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11700.00
2025-01-11,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6300.00
2025-01-12,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18080.00
2025-01-12,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4650.00
2025-01-12,987654321,Analytics,AmazonRDS,Database,us-west-2,7250.00
2025-01-12,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11800.00
2025-01-12,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6350.00
2025-01-13,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18200.00
2025-01-13,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4690.00
2025-01-13,987654321,Analytics,AmazonRDS,Database,us-west-2,7300.00
2025-01-13,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,11900.00
2025-01-13,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6400.00
2025-01-14,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18320.00
2025-01-14,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4730.00
